0,-0.99641,-0.99639,-0.99638,-0.99636,-0.99632,-0.99628,-0.99623,-0.99605,-0.99549
0.0016667,-0.74445,-0.74444,-0.74443,-0.74442,-0.74439,-0.74437,-0.74434,-0.74424,-0.74393
0.0033333,-0.49376,-0.49383,-0.4939,-0.49397,-0.49412,-0.49426,-0.49448,-0.49522,-0.49746
0.005,-0.24434,-0.24454,-0.24477,-0.24501,-0.24547,-0.24593,-0.24663,-0.24895,-0.25602
0.0066667,0.0038471,0.0034304,0.0029672,0.0025037,0.0015758,0.00064683,-0.00074866,-0.0054179,-0.019581
0.0083333,0.25081,0.25012,0.24935,0.24858,0.24703,0.24549,0.24317,0.23542,0.21193
0.01,0.49656,0.49553,0.49438,0.49323,0.49093,0.48863,0.48517,0.47359,0.43855
0.011667,0.74113,0.73969,0.73809,0.73649,0.73328,0.73007,0.72525,0.70912,0.66035
0.013333,0.98453,0.98261,0.98049,0.97836,0.9741,0.96984,0.96344,0.94205,0.87737
0.015,1.2268,1.2243,1.2216,1.2189,1.2134,1.208,1.1998,1.1724,1.0897
0.016667,1.4679,1.4648,1.4614,1.458,1.4513,1.4445,1.4343,1.4002,1.2973
0.018333,1.7079,1.7041,1.7,1.6959,1.6876,1.6793,1.6669,1.6254,1.5004
0.02,1.9467,1.9423,1.9374,1.9324,1.9225,1.9126,1.8978,1.8482,1.6989
0.021667,2.1845,2.1793,2.1735,2.1676,2.156,2.1444,2.1269,2.0684,1.8929
0.023333,2.4212,2.4151,2.4084,2.4016,2.3881,2.3745,2.3542,2.2863,2.0824
0.025,2.6569,2.6499,2.6421,2.6343,2.6187,2.6031,2.5797,2.5017,2.2677
0.026667,2.8915,2.8835,2.8746,2.8658,2.848,2.8303,2.8036,2.7146,2.4486
0.028333,3.125,3.116,3.106,3.096,3.0759,3.0559,3.0257,2.9253,2.6252
0.03,3.3576,3.3474,3.3362,3.325,3.3025,3.28,3.2462,3.1335,2.7977
0.031667,3.5891,3.5778,3.5653,3.5528,3.5277,3.5026,3.465,3.3395,2.966
0.033333,3.8196,3.8071,3.7933,3.7794,3.7516,3.7238,3.6821,3.5431,3.1303
0.035,4.0492,4.0354,4.0201,4.0048,3.9742,3.9436,3.8976,3.7444,3.2905
0.036667,4.2778,4.2627,4.2459,4.2291,4.1955,4.1619,4.1115,3.9435,3.4468
0.038333,4.5054,4.4889,4.4706,4.4522,4.4155,4.3788,4.3237,4.1404,3.5993
0.04,4.7321,4.7141,4.6942,4.6742,4.6343,4.5943,4.5344,4.335,3.7479
0.041667,4.9578,4.9384,4.9167,4.8951,4.8518,4.8085,4.7435,4.5274,3.8928
0.043333,5.1827,5.1616,5.1382,5.1148,5.0681,5.0213,4.9511,4.7177,4.0339
0.045,5.4066,5.3839,5.3587,5.3335,5.2831,5.2327,5.1571,4.9058,4.1715
0.046667,5.6296,5.6053,5.5782,5.5511,5.4969,5.4428,5.3616,5.0918,4.3055
0.048333,5.8517,5.8256,5.7966,5.7676,5.7096,5.6515,5.5645,5.2757,4.4359
0.05,6.073,6.0451,6.0141,5.9831,5.921,5.859,5.766,5.4575,4.563
0.051667,6.2934,6.2636,6.2305,6.1975,6.1313,6.0652,5.966,5.6372,4.6867
0.053333,6.5129,6.4812,6.446,6.4108,6.3404,6.27,6.1646,5.8149,4.807
0.055,6.7316,6.6979,6.6605,6.6231,6.5484,6.4736,6.3616,5.9905,4.9241
0.056667,6.9494,6.9138,6.8741,6.8345,6.7552,6.676,6.5573,6.1642,5.038
0.058333,7.1664,7.1287,7.0867,7.0448,6.9609,6.877,6.7515,6.3358,5.1488
0.06,7.3826,7.3427,7.2984,7.2541,7.1655,7.0769,6.9443,6.5055,5.2566
0.061667,7.598,7.5559,7.5092,7.4624,7.3689,7.2755,7.1357,6.6733,5.3613
0.063333,7.8126,7.7683,7.719,7.6698,7.5713,7.4729,7.3257,6.8391,5.4631
0.065,8.0264,7.9798,7.928,7.8762,7.7726,7.6691,7.5143,7.003,5.562
0.066667,8.2394,8.1904,8.136,8.0816,7.9728,7.8642,7.7016,7.165,5.6582
0.068333,8.4516,8.4002,8.3432,8.2861,8.172,8.058,7.8875,7.3251,5.7515
0.07,8.6631,8.6093,8.5494,8.4896,8.3701,8.2507,8.072,7.4834,5.8422
0.071667,8.8738,8.8175,8.7548,8.6922,8.5671,8.4422,8.2553,7.6398,5.9302
0.073333,9.0838,9.0248,8.9594,8.8939,8.7631,8.6325,8.4372,7.7944,6.0157
0.075,9.293,9.2315,9.1631,9.0947,8.9581,8.8217,8.6178,7.9472,6.0986
0.076667,9.5015,9.4373,9.3659,9.2946,9.1521,9.0098,8.7972,8.0982,6.1791
0.078333,9.7093,9.6423,9.5679,9.4936,9.345,9.1968,8.9752,8.2475,6.2572
0.08,9.9163,9.8466,9.7691,9.6917,9.537,9.3827,9.152,8.395,6.3329
0.081667,10.123,10.05,9.9695,9.8889,9.728,9.5674,9.3275,8.5408,6.4063
0.083333,10.328,10.253,10.169,10.085,9.918,9.7511,9.5017,8.6848,6.4776
0.085,10.533,10.455,10.368,10.281,10.107,9.9337,9.6748,8.8272,6.5466
0.086667,10.737,10.656,10.566,10.475,10.295,10.115,9.8465,8.9678,6.6135
0.088333,10.941,10.857,10.763,10.669,10.482,10.296,10.017,9.1068,6.6783
0.09,11.144,11.056,10.959,10.862,10.668,10.475,10.186,9.2442,6.7411
0.091667,11.346,11.256,11.155,11.054,10.854,10.653,10.355,9.3799,6.802
0.093333,11.548,11.454,11.35,11.246,11.038,10.831,10.522,9.514,6.8609
0.095,11.749,11.652,11.544,11.436,11.221,11.007,10.687,9.6465,6.918
0.096667,11.949,11.849,11.737,11.626,11.404,11.182,10.852,9.7774,6.9732
0.098333,12.148,12.045,11.93,11.815,11.585,11.356,11.015,9.9067,7.0267
0.1,12.347,12.24,12.122,12.003,11.766,11.53,11.178,10.034,7.0785
0.10167,12.546,12.435,12.313,12.19,11.946,11.702,11.339,10.161,7.1286
0.10333,12.744,12.63,12.503,12.377,12.124,11.873,11.499,10.285,7.177
0.105,12.941,12.823,12.693,12.562,12.302,12.043,11.658,10.409,7.2239
0.10667,13.137,13.016,12.882,12.747,12.479,12.213,11.816,10.53,7.2692
0.10833,13.333,13.208,13.07,12.932,12.656,12.381,11.972,10.651,7.313
0.11,13.528,13.4,13.257,13.115,12.831,12.548,12.128,10.769,7.3554
